"","search_size","rec_x","rec_y","rec_trainingerror","rec_testerror"
"1",1,29,37,3.34481326014922,2.94343404689648
"2",2,28,37,3.60645857387671,3.22787650128553
"3",3,27,37,3.97810396356199,3.62967897019464
"4",4,26,37,4.4321641265556,4.11460230712461
"5",5,25,37,4.94599297861866,4.65675153566486
