"","search_size","lec_x","lec_y","lec_trainingerror","lec_testerror"
"1",1,67,39,3.52826963426711,3.21752667256775
"2",2,68,39,3.68743043615937,3.38579046464254
"3",3,69,39,3.96807255867851,3.68438275050839
"4",4,70,39,4.34672939580561,4.08482257069058
"5",5,71,33,5.74403411362988,5.52525369435659
